CPU_Usage,Memory_Usage,Network_IO,Status
2.51E-05,51319.84029,25.05673321,0
2.51E-05,51319.84029,22.73166179,0
2.51E-05,51319.84029,22.73166179,0
2.30E-05,17.01986205,21.28434081,0
2.30E-05,17.01986205,21.63671402,0
2.30E-05,17.01986205,21.63671402,0
2.38E-05,32.48292981,20.17259798,0
2.38E-05,32.48292981,20.17259798,0
2.42E-05,27.66903885,20.17259798,0
2.58E-05,37.19544864,18.8294879,0
2.58E-05,37.19544864,21.40207025,0
2.28E-05,32.91167982,21.40207025,0
3.20E-05,83.80631248,19.35336899,0
3.20E-05,83.80631248,20.41359273,0
3.20E-05,83.80631248,20.41359273,0
7.05E-05,730.8257645,19.76457516,0
7.05E-05,730.8257645,18.96258315,0
7.05E-05,730.8257645,18.96258315,0
0.000119138,3604.695266,20.53796754,1
0.000119138,3604.695266,20.58022811,1
0.000119138,3604.695266,20.58022811,1
0.00011145,3375.105901,18.48849048,1
0.00011145,3375.105901,19.20842082,1
0.00012123,4049.363801,19.20842082,1
0.000145129,4847.63778,20.31012198,1
0.000120204,56636.18336,20.31012198,1
0.000120204,56636.18336,20.31012198,1
9.87E-05,71499.24955,22.2543647,0
7.93E-05,54077.63242,22.2543647,0
7.93E-05,54077.63242,22.2543647,0
2.72E-05,54925.92561,20.24296838,0
2.72E-05,54925.92561,20.24296838,0
2.72E-05,54925.92561,20.24296838,0
2.76E-05,55003.2177,14.04444444,0
2.76E-05,55003.2177,18.14176711,0
2.76E-05,55003.2177,18.14176711,0
1.46E-05,0,15.72974364,0
1.46E-05,0,15.96646256,0
1.46E-05,0,15.96646256,0
1.30E-05,0,10.12330217,0
1.14E-05,0,10.12330217,0
1.14E-05,0,10.12330217,0
1.36E-05,0,6.94670887,0
1.30E-05,0,12.41860231,0
1.30E-05,0,12.41860231,0
9.45E-06,0,9.877411964,0
9.45E-06,0,9.877411964,0
9.45E-06,0,9.877411964,0
1.34E-05,0,11.75201026,0
1.34E-05,0,13.22004259,0
1.34E-05,0,13.22004259,0
1.36E-05,0,20.859803,0
1.92E-05,0,20.859803,0
1.92E-05,0,20.859803,0
1.83E-05,0,21.83323273,0
2.57E-05,0,21.83323273,0
2.57E-05,0,21.83323273,0
0.000341138,52394.19149,100.0942224,1
0.000341138,52394.19149,121.9791802,1
0.000341138,52394.19149,121.9791802,1
0.001278377,55309.65228,435.8323351,1
0.001278377,55309.65228,435.8323351,1
0.001278377,55309.65228,435.8323351,1
0.002455164,58457.4085,1025.695599,1
0.002455164,58457.4085,1026.634224,1
0.002455164,58457.4085,1026.634224,1
0.002455164,58457.4085,1303.672412,1
0.00372795,60418.14675,1848.178671,1
0.00372795,60418.14675,1873.992402,1
0.004109296,53831.20599,2187.304919,1
0.004746483,14008.60426,2729.139414,1
0.004746483,14008.60426,2783.263941,1
0.005372383,13381.29979,3536.141392,1
0.005372383,13381.29979,3622.552283,1
0.005372383,13381.29979,3622.552283,1
0.006398941,24633.65323,3620.437498,1
0.006398941,24633.65323,4687.244941,1
0.006398941,24633.65323,4687.244941,1
0.007767969,36262.68146,5000.013447,1
0.007767969,36262.68146,5668.673658,1
0.007767969,36262.68146,5668.673658,1
0.008630642,87430.42715,4866.100479,1
0.009373653,102811.6059,6894.376703,1
0.009373653,102811.6059,6894.376703,1
0.010410113,104845.9157,6894.376703,1
0.010410113,104845.9157,7704.026372,1
0.010410113,104845.9157,7704.026372,1
0.011185966,106959.565,8403.474647,1
0.011185966,106959.565,8403.474647,1
0.011185966,106959.565,8403.474647,1
0.011643862,186033.2861,8403.474647,1
0.011643862,186033.2861,8685.697455,1
0.011643862,186033.2861,8685.697455,1
0.011523841,183285.0671,8729.72766,1
0.011523841,183285.0671,8729.72766,1
0.011523841,183285.0671,8729.72766,1
0.011518446,187995.2852,8736.874985,1
0.011518446,187995.2852,8756.219899,1
0.011518446,187995.2852,8756.219899,1
0.011467446,180096.9591,8755.718444,1
0.011467446,180096.9591,8763.676814,1
0.011467446,180096.9591,8763.676814,1
0.011471625,123116.8652,8747.406522,1
0.011698352,159328.2697,8747.406522,1
0.011698352,159328.2697,8747.406522,1
0.011477748,101494.3528,8747.208788,1
0.011477748,101494.3528,8737.084206,1
0.011477748,101494.3528,8737.084206,1
0.011457898,98859.23072,7580.957061,1
0.011457898,98859.23072,8729.042381,1
0.011457898,98859.23072,8729.042381,1
0.011430697,104075.9024,8704.708189,1
0.011430697,104075.9024,8704.708189,1
0.011430697,104075.9024,8704.708189,1
0.008349218,32804.40889,8739.596203,1
