"Time","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 21:49:20,2229.531543127884,670.8242646266567,1176.7257424941329,2229.531543127884,670.8242646266567,1176.7257424941329
2020-06-03 21:49:40,2692.7981344116697,670.8242646266567,1176.7257424941329,2692.7981344116697,670.8242646266567,1176.7257424941329
2020-06-03 21:50:00,2692.7981344116697,17.285763721841,1593.0584162320874,2692.7981344116697,17.285763721841,1593.0584162320874
2020-06-03 21:50:20,1830.5282104477674,17.285763721841,1207.597312537891,1830.5282104477674,17.285763721841,1207.597312537891
2020-06-03 21:50:40,1830.5282104477674,17.285763721841,1207.597312537891,1830.5282104477674,17.285763721841,1207.597312537891
2020-06-03 21:51:00,1830.5282104477674,373.0321875569202,1546.8936170212764,1830.5282104477674,373.0321875569202,1546.8936170212764
2020-06-03 21:51:20,533.7705193686024,373.0321875569202,1171.582233860409,533.7705193686024,373.0321875569202,1171.582233860409
2020-06-03 21:51:40,533.7705193686024,373.0321875569202,1171.582233860409,533.7705193686024,373.0321875569202,1171.582233860409
2020-06-03 21:52:00,533.7705193686024,325.155060584771,0,533.7705193686024,325.155060584771,0
2020-06-03 21:52:20,53842.179812465525,449.58838953594733,0,53842.179812465525,449.58838953594733,0
2020-06-03 21:52:40,53842.179812465525,449.58838953594733,0,53842.179812465525,449.58838953594733,0
2020-06-03 21:53:00,53842.179812465525,490.1319463279992,0,53842.179812465525,490.1319463279992,0
2020-06-03 21:53:20,60372.01581908434,490.1319463279992,0,60372.01581908434,490.1319463279992,0
2020-06-03 21:53:40,50546.073598347626,590.2587942547909,0,50546.073598347626,590.2587942547909,0
2020-06-03 21:54:00,50546.073598347626,584.5988223204527,0,50546.073598347626,584.5988223204527,0
2020-06-03 21:54:20,53559.34992799835,584.5988223204527,0,53559.34992799835,584.5988223204527,0
2020-06-03 21:54:40,53559.34992799835,584.5988223204527,0,53559.34992799835,584.5988223204527,0
2020-06-03 21:55:00,53559.34992799835,46605.53294693139,0,53559.34992799835,46605.53294693139,0
2020-06-03 21:55:20,51088.64650957435,46605.53294693139,169.51958414727014,51088.64650957435,46605.53294693139,169.51958414727014
2020-06-03 21:55:40,51088.64650957435,46605.53294693139,169.51958414727014,51088.64650957435,46605.53294693139,169.51958414727014
2020-06-03 21:56:00,51088.64650957435,47780.38129186482,166.25400819905022,51088.64650957435,47780.38129186482,166.25400819905022
2020-06-03 21:56:20,1657.641774419098,47780.38129186482,196.2892262964945,1657.641774419098,47780.38129186482,196.2892262964945
2020-06-03 21:56:40,1657.641774419098,47780.38129186482,196.2892262964945,1657.641774419098,47780.38129186482,196.2892262964945
2020-06-03 21:57:00,1657.6417744190985,47780.38129186482,207.60855214824724,1657.6417744190985,47780.38129186482,207.60855214824724
2020-06-03 21:57:20,0,44666.74044679136,234.34144280533744,0,44666.74044679136,234.34144280533744
2020-06-03 21:57:40,0,44666.74044679136,234.34144280533746,0,44666.74044679136,234.34144280533746
