"Time","tcss600threads-854bc8697c-jd8d4","tcss600posts-684d4857dc-tdkfz","tcss600users-5cc6c5d95d-svbrh","tcss600threads-854bc8697c-8nm64","tcss600users-5cc6c5d95d-s9nk5","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600users-5cc6c5d95d-nk8rl","tcss600threads-854bc8697c-wnx4s","tcss600posts-684d4857dc-tdkfz","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600threads-854bc8697c-jd8d4","tcss600threads-854bc8697c-8nm64","tcss600threads-854bc8697c-wnx4s","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 23:32:40,187.2371548729201,62165.53087447329,255.01923851188965,171369.27531664268,281.78921705629676,57490.59182000253,52.83252502321741,325.6493194019609,158.79525130520187,62165.53087447329,57490.59182000253,52.83252502321741,187.2371548729201,171369.27531664268,158.79525130520187,255.01923851188965,281.78921705629676,325.6493194019609
2020-06-03 23:33:00,187.2371548729201,62165.53087447329,255.01923851188965,120407.57223513782,249.44091645718655,139.18362145860763,51.81661775123977,303.37802036269994,149.5933903614849,62165.53087447329,139.18362145860763,51.81661775123977,187.2371548729201,120407.57223513782,149.5933903614849,255.01923851188965,249.44091645718655,303.37802036269994
2020-06-03 23:33:20,196.6832402795542,52465.62734212588,254.5166451773259,120407.57223513782,275.6174794173528,139.18362145860763,51.816617751239754,324.3382913726781,149.5933903614849,52465.62734212588,139.18362145860763,51.816617751239754,196.6832402795542,120407.57223513782,149.5933903614849,254.5166451773259,275.6174794173528,324.3382913726781
2020-06-03 23:33:40,196.6832402795542,62376.644510472244,218.96801243303304,120407.57223513782,275.6174794173528,139.18362145860763,51.816617751239754,324.3382913726781,149.5933903614849,62376.644510472244,139.18362145860763,51.816617751239754,196.6832402795542,120407.57223513782,149.5933903614849,218.96801243303304,275.6174794173528,324.3382913726781
2020-06-03 23:34:00,196.6832402795542,62376.644510472244,218.96801243303304,125044.18556558902,188.1205481282306,109.98852048522767,42.366570128258175,324.3382913726781,65.96370868712734,62376.644510472244,109.98852048522767,42.366570128258175,196.6832402795542,125044.18556558902,65.96370868712734,218.96801243303304,188.1205481282306,324.3382913726781
2020-06-03 23:34:20,103.79693373315875,6490.836433788066,249.18252193882984,125044.18556558902,188.1205481282306,134.57526325300213,0,316.43876277258,65.96370868712734,6490.836433788066,134.57526325300213,0,103.79693373315875,125044.18556558902,65.96370868712734,249.18252193882984,188.1205481282306,316.43876277258
2020-06-03 23:34:40,103.79693373315875,66753.42732216405,253.9800647971601,125044.18556558902,188.1205481282306,134.57526325300213,0,316.43876277258,65.96370868712734,66753.42732216405,134.57526325300213,0,103.79693373315875,125044.18556558902,65.96370868712734,253.9800647971601,188.1205481282306,316.43876277258
2020-06-03 23:35:00,103.79693373315875,66753.42732216405,253.9800647971601,63418.12147820376,75101.06285839512,94.93733176452062,0,322.12400515901726,0,66753.42732216405,94.93733176452062,0,103.79693373315875,63418.12147820376,0,253.9800647971601,75101.06285839512,322.12400515901726
2020-06-03 23:35:20,0,66753.42732216405,272.85596122993906,63418.12147820376,75101.06285839512,107.4957462722473,0,346.6514060950938,0,66753.42732216405,107.4957462722473,0,0,63418.12147820376,0,272.85596122993906,75101.06285839512,346.6514060950938
2020-06-03 23:35:40,899.4656494758158,63737.21614971968,240.92700429386502,63418.12147820376,75101.06285839512,107.49574627224732,0,346.6514060950938,0,63737.21614971968,107.49574627224732,0,899.4656494758158,63418.12147820376,0,240.92700429386502,75101.06285839512,346.6514060950938
